Red Fighter,Blue Fighter,Predicted Result,Probability
Marc-Andre Barriault,Eryk Anders,win,0.6764196623670845
Dan Ige,Nate Landwehr,loss,0.563508481880133
Mike Malott,Adam Fugitt,win,0.7080835532883932
Charles Oliveira,Beneil Dariush,loss,0.591921167938387
Zac Pauga,Modestas Bukauskas,win,0.5736675057656382
Dan Argueta,Ronnie Lawrence,win,0.7572627869405893
Nicolas Dalby,Muslim Salikhov,loss,0.6885812433423731
Arman Tsarukyan,Joaquim Silva,win,0.688848589547827
Marvin Vettori,Jared Cannonier,win,0.747204525048839
Randy Brown,Wellington Turman,win,0.6913903318586601
Neil Magny,Phil Rowe,loss,0.49740036547889155
Brendan Allen,Bruno Silva,win,0.6007347977850631
Josh Emmett,Ilia Topuria,loss,0.5327123806159964
Alexandr Romanov,Blagoy Ivanov,win,0.5639070136210954
Kevin Lee,Rinat Fakhretdinov,loss,0.6991577020740406
Max Griffin,Michael Morales,win,0.5455171652097436
Damir Ismagulov,Grant Dawson,loss,0.5504194907857474
Jimmy Crute,Alonzo Menifield,win,0.5866896268807404
Robbie Lawler,Niko Price,loss,0.7575760837623706
Jalin Turner,Dan Hooker,win,0.5936542163659225
Robert Whittaker,Dricus Du Plessis,loss,0.6289319390389111
Brandon Moreno,Alexandre Pantoja,win,0.5539689180304347
Alexander Volkanovski,Yair Rodriguez,win,0.7753209111787873
Evan Elder,Genaro Valdez,win,0.6649250420536319
Tucker Lutz,Melsik Baghdasaryan,loss,0.6433799724021035
Albert Duraev,JunYong Park,win,0.5392982519851962
Makhmud Muradov,Bryan Barberena,win,0.5082969839682209
Marc Diakiese,Joel Alvarez,loss,0.5379591884916994
Lerone Murphy,Josh Culibao,win,0.6067088619191139
Jai Herbert,Fares Ziam,loss,0.6755264657725315
Paul Craig,Andre Muniz,loss,0.6161755521650528
Nathaniel Wood,Andre Fili,win,0.8052655010482214
Tom Aspinall,Marcin Tybura,win,0.7598361152168397
Matthew Semelsberger,Uros Medic,loss,0.5203165108306651
Roman Kopylov,Claudio Ribeiro,win,0.611073867576344
Michael Chiesa,Kevin Holland,loss,0.5709346291353282
Tony Ferguson,Bobby Green,loss,0.6666200708337778
Derrick Lewis,Marcos Rogerio de Lima,loss,0.6307695265788178
Jan Blachowicz,Alex Pereira,loss,0.5798374204235216
Dustin Poirier,Justin Gaethje,win,0.5730171815804925
Cody Durden,Jake Hadley,win,0.5650999448581698
Billy Quarantillo,Damon Jackson,win,0.4992300953670826
Jeremiah Wells,Carlston Harris,win,0.5354073481968229
Kyler Phillips,Raoni Barcelos,win,0.6352732072937239
Ignacio Bahamondes,Ludovit Klein,win,0.717440404284968
Tanner Boser,Aleksa Camur,loss,0.4992623438949329
Dustin Jacoby,Kennedy Nzechukwu,win,0.5394069741237213
Cory Sandhagen,Rob Font,win,0.5445964268089302
Josh Parisian,Martin Buday,loss,0.5963956064571009
Terrance McKinney,Mike Breeden,win,0.5906499648305217
Josh Fremd,Jamie Pickett,win,0.637232062476555
AJ Dobson,Tafon Nchukwi,win,0.501066199525203
Khalil Rountree Jr.,Chris Daukaus,win,0.5811432857308146
Cub Swanson,Hakeem Dawodu,loss,0.5401556322356875
Vicente Luque,Rafael Dos Anjos,win,0.5557517942027367
Andre Petroski,Gerald Meerschaert,win,0.6778926313471978
Brad Katona,Cody Gibson,win,0.6096985041554522
Kurt Holobaugh,Austin Hubbard,loss,0.6874925550915861
Gregory Rodrigues,Denis Tiuliulin,win,0.7728491428854386
Chris Weidman,Brad Tavares,win,0.5685978441860073
Marlon Vera,Pedro Munhoz,win,0.5788080676775794
Da'Mon Blackshear,Mario Bautista,loss,0.6077952430098037
Neil Magny,Ian Garry,loss,0.6614205634399593
Aljamain Sterling,Sean O'Malley,win,0.5984615828276344
Chidi Njokuani,Michal Oleksiejczuk,loss,0.6015557305086932
Waldo Cortes-Acosta,Lukasz Brzeski,win,0.6765185660004825
Giga Chikadze,Alex Caceres,win,0.5313536662836505
