Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Curtis Blaydes,Tom Aspinall,win,0.6629780657856292,win
Drakkar Klose,Rafa Garcia,win,0.508214957788244,win
Drew Dober,Rafael Alves,win,0.6051460028609253,win
Alex Morono,Matthew Semelsberger,win,0.6757999653546135,win
Magomed Ankalaev,Anthony Smith,win,0.6910217527136056,win
Alexandre Pantoja,Alex Perez,loss,0.5077265004587896,win
Derrick Lewis,Sergei Pavlovich,loss,0.604861302073864,loss
Brandon Moreno,Kai Kara-France,win,0.7491393722023244,win
Bryan Battle,Takashi Sato,win,0.9400767326461176,win
Sam Alvey,Michal Oleksiejczuk,win,0.5107513728023505,loss
Augusto Sakai,Serghei Spivac,win,0.5017658333945602,loss
Vicente Luque,Geoff Neal,win,0.7165695257290124,loss
Thiago Santos,Jamahal Hill,win,0.6869819959339177,loss
Ode Osbourne,Tyson Nam,win,0.5741388298692522,loss
Gabriel Benitez,Charlie Ontiveros,win,0.6735013867398318,win
Bruno Silva,Gerald Meerschaert,win,0.5539410889133176,loss
Nate Landwehr,David Onama,win,0.5638410205667864,win
Marlon Vera,Dominick Cruz,win,0.582237951963714,win
Amir Albazi,Francisco Figueiredo,win,0.8523433322463336,win
Sean Woodson,Luis Saldana,loss,0.5162054141715138,draw
Leonardo Santos,Jared Gordon,win,0.5426022858567443,loss
Marcin Tybura,Alexandr Romanov,loss,0.6000703350117174,win
Tyson Pedro,Harry Hunsucker,win,0.874918042854109,win
Jose Aldo,Merab Dvalishvili,loss,0.8119684032177259,loss
Paulo Costa,Luke Rockhold,loss,0.5514692733212043,win
Kamaru Usman,Leon Edwards,win,0.7106227066848845,loss
John Makdessi,Nasrat Haqparast,win,0.7311141099311412,loss
Charles Jourdain,Nathaniel Wood,loss,0.7031141626260611,loss
Alessio Di Chirico,Roman Kopylov,win,0.5868338758871137,loss
Nassourdine Imavov,Joaquin Buckley,win,0.5209152324786167,win
Robert Whittaker,Marvin Vettori,loss,0.5043557155983831,win
Ciryl Gane,Tai Tuivasa,win,0.9207413067390077,win
Jake Collier,Chris Barnett,win,0.8994779388440541,loss
Hakeem Dawodu,Julian Erosa,win,0.5608107047570186,loss
Johnny Walker,Ion Cutelaba,win,0.6840034536959069,win
Li Jingliang,Daniel Rodriguez,loss,0.5919866661431727,loss
Khamzat Chimaev,Kevin Holland,win,0.8376262654015254,win
Nate Diaz,Tony Ferguson,win,0.5603702712340853,win
Damon Jackson,Pat Sabatini,loss,0.5770201612192881,win
Anthony Hernandez,Marc-Andre Barriault,win,0.7730214292072473,win
Tanner Boser,Rodrigo Nascimento,win,0.7416233016886197,loss
Andre Fili,Bill Algeo,loss,0.5405452830463,win
